id,BomCode,BomCodeName,CanPacking,Remark,LastUpdatedDateTime,NeedPicking
8721,FKD059,皇家-约瑟芬油漆门M003(VI01)无雕花玻璃门(5mm玉砂玻璃),0,,2017-03-09 19:08:07.01,
8722,FKD060,皇家-约瑟芬油漆门M004(VI01)双雕花玻璃门,0,,2017-03-09 19:08:07.013,
8723,FKD061,皇家-魅影亮光烤漆（单面亮光）门板M008(封边拉手)_真门,0,,2017-03-09 19:08:07.013,
8724,FKD062,皇家-魅影亮光烤漆(单面亮光)平板直边无封边拉手门板M008(W<297)_真门,0,,2017-03-09 19:08:07.017,
8725,FKD063,皇家-魅影亮光烤漆（单面亮光）门板M008(封边拉手)_假门,0,,2017-03-09 19:08:07.02,
8726,FKD064,皇家-魅影亮光烤漆(单面亮光)平板直边无封边拉手门板M008(W<297)_假门,0,,2017-03-09 19:08:07.02,
8727,FKD065,皇家-魅影亮光烤漆（单面亮光）抽面M008(封边拉手)_真抽,0,,2017-03-09 19:08:07.023,
8728,FKD066,皇家-魅影亮光烤漆(单面亮光)平板直边无封边拉手抽面M008(W<297)_真抽,0,,2017-03-09 19:08:07.023,
8729,FKD067,皇家-魅影亮光烤漆（单面亮光）抽面M008(封边拉手)_假抽,0,,2017-03-09 19:08:07.027,
8730,FKD068,皇家-魅影亮光烤漆(单面亮光)平板直边无封边拉手抽面M008(W<297)_假抽,0,,2017-03-09 19:08:07.03,
8731,FKD069,皇家-魅影油漆门M028_真门,0,,2017-03-09 19:08:07.03,
8732,FKD070,皇家-魅影油漆门M028_假门,0,,2017-03-09 19:08:07.033,
8733,FKD071,皇家-魅影油漆抽面M028_真抽,0,,2017-03-09 19:08:07.037,
8734,FKD072,皇家-魅影油漆抽面M028_假抽,0,,2017-03-09 19:08:07.037,
8735,FKD073,皇家-魅影油漆玻璃门M008(封边拉手)(5mm清波),0,,2017-03-09 19:08:07.04,
8736,FKD074,皇家-魅影油漆玻璃门M008(封边拉手)(5mm玉砂玻璃),0,,2017-03-09 19:08:07.04,
8737,FKD075,皇家-魅影油漆玻璃门M028(5mm清波),0,,2017-03-09 19:08:07.043,
8738,FKD076,皇家-魅影油漆玻璃门M028(5mm玉砂玻璃),0,,2017-03-09 19:08:07.043,
8739,FKD077,浪漫-普罗旺斯亚光烤漆平板直边门板_真门,0,,2017-03-09 19:08:07.047,
8740,FKD078,浪漫-普罗旺斯亚光烤漆平板直边门板_假门,0,,2017-03-09 19:08:07.05,
8741,FKD079,浪漫-普罗旺斯亚光烤漆平板直边抽面_真抽,0,,2017-03-09 19:08:07.05,
8742,FKD080,浪漫-普罗旺斯亚光烤漆平板直边抽面_假抽,0,,2017-03-09 19:08:07.053,
8743,FKD081,浪漫-普罗旺斯玻璃门M030(VI01)(5mm清波),0,,2017-03-09 19:08:07.053,
8744,FKD082,浪漫-普罗旺斯玻璃门M030(VI01)(5mm玉砂玻璃),0,,2017-03-09 19:08:07.057,
8745,FKD083,浪漫-特鲁维尔亚光烤漆平板直边门板M030_真门,0,,2017-03-09 19:08:07.06,
8746,FKD084,浪漫-特鲁维尔亚光烤漆平板直边门板M030_假门,0,,2017-03-09 19:08:07.06,
8747,FKD085,浪漫-特鲁维尔亚光烤漆平板直边抽面M030_真抽,0,,2017-03-09 19:08:07.063,
8748,FKD086,浪漫-特鲁维尔亚光烤漆平板直边抽面M030_假抽,0,,2017-03-09 19:08:07.063,
8749,FKD087,浪漫-特鲁维尔油漆玻璃M030(VI01)(5mm清波),0,,2017-03-09 19:08:07.067,
8750,FKD088,浪漫-特鲁维尔油漆玻璃M030(VI01)(5mm玉砂玻璃),0,,2017-03-09 19:08:07.07,
8751,FKD180,厨柜18mm油漆顶线,0,,2017-03-09 19:08:07.07,
8752,FKD185,厨柜18mm油漆封板,0,,2017-03-09 19:08:07.073,
8753,FKD190,厨柜18mm油漆见光板,0,,2017-03-09 19:08:07.073,
