Id,Code,Name,OrderIndex,Remark,IsDeleted,UpdatedDateTime,CreatedDateTime
150,2H油2L,2H封PVC后喷漆、2L封PVC,654,,0,2014-05-15 16:47:41.897,2014-05-15 16:47:41.897
151,"2H油2L,K3",2H封PVC后喷漆、2L封PVC，做形,654,,0,2014-05-15 16:48:04.063,2014-05-15 16:48:04.063
152,2L油2H,2L封PVC后喷漆、2H封PVC,660,,0,2014-05-15 16:48:27.12,2014-05-15 16:48:27.12
153,"2L油2H,K3",2L封PVC后喷漆、2H封PVC，做形,661,,0,2014-05-15 16:48:48.15,2014-05-15 16:48:48.15
154,四油,四边封PVC后喷漆,670,,0,2014-05-15 16:49:19.693,2014-05-15 16:49:19.693
155,"四油,K1",四边封PVC后喷漆，开槽,671,,0,1753-01-01 00:00:00.0,2014-05-15 16:49:51.22
156,"四油,K3",四边封PVC后喷漆，做形,672,,0,2014-05-15 16:50:32.247,2014-05-15 16:50:32.247
157,圆△,圆形板封厚边,471,,0,1753-01-01 00:00:00.0,2014-06-27 09:16:33.183
158,"1H△41,K3",一长厚边，宽封边41，做形,115,,0,1753-01-01 00:00:00.0,2014-09-04 10:44:17.89
159,"1H2L△1HK,K3",一长两短厚边、一长薄边，开槽、做形,154,,1,1753-01-01 00:00:00.0,2015-05-12 09:10:24.76
160,1H△1H,一长厚边、一长薄边,116,,0,2016-03-16 10:42:33.757,2016-03-16 10:42:33.757
161,1H28△1H,一长28宽封边、一长薄边,108,,0,2016-03-16 10:44:23.457,2016-03-16 10:44:23.457
162,1H41△1H,一长41宽封边、一长薄边,109,,0,2016-03-16 10:45:29.847,2016-03-16 10:45:29.847
163,1H1L△1H,一长一短厚边、一长薄边,121,,0,2016-03-16 10:48:03.63,2016-03-16 10:48:03.63
164,四△28,四厚边，一长边宽封边28,415,,0,2016-03-23 11:41:54.353,2016-03-23 11:41:54.353
165,K1,开槽,20,,1,2016-04-15 11:46:39.57,2016-04-15 11:46:39.57
166,"1L木,K3",1L封木皮，做形,531,,0,2016-08-12 10:45:42.23,2016-08-12 10:45:42.23
167,"1L木,K3",木皮一短薄，做形,673,,0,2016-08-12 10:55:50.56,2016-08-12 10:55:50.56
168,"四○,28","一厚三薄,一厚封宽封边",504,,0,2012-07-06 17:34:08.953,2012-07-06 17:34:08.953
169,"1H1L△1H1LK,K3",=,213,,0,2012-08-30 18:09:30.01,2012-08-30 18:09:30.01
170,"2H△2L,28",两长边封厚边，两短边不封边，其中一长边封28mm宽封边,663,,0,2014-10-29 17:20:18.803,2014-10-29 17:20:18.803
171,"四K△41,K1",1H边封宽封边,664,,0,2014-12-11 09:11:15.963,2014-12-11 09:11:15.963
172,四C,C款鞋柜手动封边,154,,0,2014-12-27 09:13:27.62,2014-12-27 09:13:27.62
173,"四CR,K3",做形边封厚边，其余边封薄边,665,,0,2015-03-06 08:47:59.53,2015-03-06 08:47:59.53
174,"1H△2L,K3",一厚边二薄边，做形,123,,0,2015-04-30 09:53:53.97,2015-04-30 09:53:53.97
175,"2H△1L,K3",二厚边一薄边，做形,123,,0,2015-04-30 09:54:06.047,2015-04-30 09:54:06.047
176,2H△28,两长边封宽封边28mm,555,,0,1753-01-01 00:00:00.0,2015-08-31 20:49:44.127
177,四△手,四封1.0mm厚边,666,,0,2015-12-31 15:32:30.023,2015-12-31 15:32:30.023
178,"四△手,K3",四封1.0厚边，板件造型,667,,0,2015-12-31 15:32:53.61,2015-12-31 15:32:53.61
179,"1H2L△281H,K3",一长两宽边封28mm厚宽封边，一长边封薄边，做型,129,,0,2016-03-18 18:43:56.31,2016-03-18 18:43:56.31
180,"1H2L△411H,K3",一长两宽边封41mm厚宽封边，一长边封薄边，做型,130,,0,2016-03-18 18:44:38.977,2016-03-18 18:44:38.977
181,"圆△,K3",异形挡板封边,668,,0,1753-01-01 00:00:00.0,2016-03-25 10:50:35.01
182,"四,K1,K3",四薄边，开槽、造型,674,,0,2016-11-17 14:43:28.65,2016-11-17 14:43:28.65
183,"四,K1",四薄，开槽,675,,0,2016-12-07 19:15:32.283,2016-12-07 19:15:32.283
184,K5,多加切削量做形,676,,0,1753-01-01 00:00:00.0,2016-12-21 08:45:14.23
185,"1H2L,K5",一长两短薄边，组合板件,133,,0,2016-12-26 16:58:23.043,2016-12-26 16:58:23.043
186,"1H木2L,K5",1H封木皮、2L封PVC，组合板件,528,,0,2016-12-26 17:00:09.92,2016-12-26 17:00:09.92
187,"1H油1H2L,K5",1H喷漆、1H2L封PVC，组合板件,627,,0,2016-12-26 17:02:24.563,2016-12-26 17:02:24.563
188,"2H,K5",二长薄边，组合板件,203,,0,2016-12-26 17:03:23.537,2016-12-26 17:03:23.537
189,"2H△,K5",二长厚边，组合板件,212,,0,2016-12-26 17:04:08.927,2016-12-26 17:04:08.927
190,"2H油,K5",2H喷漆，组合板件,652,,0,2016-12-26 17:05:27.6,2016-12-26 17:05:27.6
191,"四,K5",四薄边，组合板件,442,,0,2016-12-26 17:06:41.637,2016-12-26 17:06:41.637
192,"四△,K5",四厚边，组合板件,414,,0,2016-12-26 17:07:24.103,2016-12-26 17:07:24.103
193,K5,组合板件,50,K5表示组合板件,0,2016-12-26 17:08:19.907,2016-12-26 17:08:19.907
194,"1H1L△1H1L,K1,K3",一长一短边封厚边，一长一短边封薄边，开背板槽，做形,677,,0,2017-04-24 16:43:14.517,2017-04-24 16:43:14.517
195,"四△,K1,K3",四边封厚边，开背板槽，做形,678,,0,2017-04-24 16:43:28.1,2017-04-24 16:43:28.1
196,"四,K1,K3",四封薄边，开背板槽，板件造型,679,,0,2017-04-24 16:43:43.79,2017-04-24 16:43:43.79
197,"四△41,K1",四边封厚边，41宽封边，开槽,680,,0,2017-04-24 16:44:01.87,2017-04-24 16:44:01.87
198,"四○,K1,K3",一厚三薄，开背板槽，板件造型,681,,0,2017-04-24 16:44:21.077,2017-04-24 16:44:21.077
199,"四○28,K1",一厚三薄，开背板槽，28宽封边，开槽,682,,0,2017-04-24 16:44:39.59,2017-04-24 16:44:39.59
200,"四○41,K1",一厚三薄，开背板槽，41宽封边，开槽,683,,0,2017-04-24 16:44:55.17,2017-04-24 16:44:55.17
201,"1H2L△1H,K1,K3",一长二短封厚边，一长边封薄边，开槽、做形,154,,0,2017-05-08 14:28:23.247,2017-05-08 14:28:23.247
