Id,Name,OrderIndex,UpdatedDateTime,CreatedDateTime,IsDeleted,Remark,EdgeBandingColor,Color2020,PriorityFlag,PaintGoods,IsOrder,EPType
185,B71,72710,2017-05-31 17:15:45.217,2012-08-06 09:46:52.397,0,2098GC(MX),B71,,,N,1,2
186,B71S,72711,2017-05-31 17:16:47.22,2012-08-06 09:48:21.38,0,2098GCS(MX),B71,,,N,1,2
187,A25,71250,2017-05-31 17:52:35.193,2012-08-10 11:17:22.637,0,40501,A25,,,N,1,2
188,B70,72700,2017-05-31 17:17:56.55,2012-08-15 08:07:10.037,0,2094GC(MX),B70,,,N,1,2
189,B70S,72701,2017-05-31 17:18:09.69,2012-08-15 08:08:11.847,0,2094GCS(MX),B70,,,N,1,2
190,B10,72100,2017-05-31 17:33:44.41,2012-08-15 17:48:56.803,0,2072GC,B10,,,N,1,2
191,B10S,72101,2017-05-31 17:33:50.54,2012-08-15 17:49:14.96,0,2072GCS,B10,,,N,1,2
192,B73,72730,2017-05-31 17:15:08.127,2012-08-16 14:21:08.507,0,2088GC,B73,,,N,1,2
193,B73S,72731,2017-05-31 17:15:14.137,2012-08-16 14:21:29.053,0,2088GCS,B73,,,N,1,2
194,B72,72720,2017-05-31 17:15:27.6,2012-08-16 14:22:08.537,0,2097GC,B72,,,N,1,2
195,A54,71540,2017-05-31 17:47:28.273,2012-08-22 15:07:37.88,0,1034GC,A54,,,N,1,2
196,B66,72660,2017-05-31 17:20:19.493,2012-08-24 22:00:40.337,0,°×É«ÓÍÆá,,,,Y,1,2
197,B74,72740,2017-05-31 17:15:00.46,2012-08-27 21:16:27.077,0,2084GC,B74,,,N,1,2
198,A64,71640,2017-05-31 17:46:10.49,2012-08-28 09:22:53.49,0,2028A,A64,,,N,1,2
199,B04T,72040,2017-05-31 17:35:08.42,2012-08-28 11:06:00.75,0,02/ËáÖ¦Ä¾,B04T,,,Y,1,2
200,A38S,71381,2017-05-31 17:50:38.19,2012-08-30 08:56:41.457,0,1007GCS,A38,,,N,1,2
201,B75,72750,2017-05-31 17:14:50.173,2012-08-30 10:02:17.993,0,YQ2005,,,,Y,1,2
202,B76T,72760,2017-05-31 17:14:20.883,2012-09-01 17:13:39.487,0,221SPGC,B76T,,,Y,1,2
203,B77P,72770,2017-05-31 17:14:02.383,2012-09-03 16:38:38.74,0,PG2005,,,,N,1,2
204,A80S,71801,2017-05-31 17:38:05.507,2012-09-06 16:55:32.437,0,40231-BS,A80,,,N,1,2
205,A82S,71821,2017-05-31 17:37:41.237,2012-09-06 19:02:06.913,0,48031-AS,A82,,,N,1,2
206,A82,71820,2017-05-31 17:37:35.363,2012-09-06 19:02:40.343,0,48031-A,A82,,,N,1,2
207,B78,72780,2017-05-31 17:13:16.113,2012-09-07 11:25:50.483,0,2103GC,B78,,,N,1,2
208,B78S,72781,2017-05-31 17:13:21.44,2012-09-07 11:26:37.657,0,2103GCS,B78,,,N,1,2
209,B79,72790,2017-05-31 17:12:43.973,2012-09-10 15:46:37.22,0,2105GC,B79,,,N,1,2
210,B47S,72471,2017-05-31 17:23:20.673,2012-09-10 17:34:56.307,0,1034S(MP),B47,,,N,1,2
211,B47,72470,2017-05-31 17:23:13.63,2012-09-10 17:35:30.83,0,1034(MP),B47,,,N,1,2
212,A61,71610,2017-05-31 17:46:21.763,2012-09-13 10:56:06.93,0,1745-2,A61,,,N,1,2
213,203M,62,2016-04-14 09:37:21.0,2012-09-14 09:07:37.683,1,,,,1,N,1,
214,202M,61,2016-04-14 09:37:20.0,2012-09-14 09:08:10.723,1,,,,1,N,1,
215,A77S,71771,2017-05-31 17:39:42.823,2012-09-17 08:26:51.037,0,40102-3S,A77,,,N,1,2
216,A77,71770,2017-05-31 17:39:36.357,2012-09-17 08:27:51.567,0,40102-3,A77,,,N,1,2
217,A25S,71251,2017-05-31 17:52:40.253,2012-09-18 17:39:28.433,0,40501S,A25,,,N,1,2
218,B80,72800,2017-05-31 17:12:29.113,2012-09-18 17:40:19.073,0,2108GC,B80,,,N,1,2
219,A55,71550,2017-05-31 17:46:50.94,2012-09-19 17:19:11.693,0,1038GC,A55,,,N,1,2
220,A55S,71551,2017-05-31 17:46:59.64,2012-09-19 17:24:10.25,0,1038GCS,A55,,,N,1,2
221,A89T,71890,2017-05-31 17:36:56.01,2012-09-21 16:50:32.66,0,03/°×ÏðÄ¾,A89T,,,Y,1,2
222,B37,72370,2017-05-31 17:28:47.597,2012-09-22 15:25:21.8,0,TH001,,,,N,1,3
223,A53,71530,2017-05-31 17:47:58.42,2012-09-22 15:26:01.143,0,1034-A,A53,,,N,1,2
224,B81,72810,2017-05-31 17:12:15.607,2012-09-25 18:03:39.91,0,2109GC,B81,,,N,1,2
225,B81S,181,2013-05-30 14:19:27.0,2012-09-26 11:43:06.33,1,2109GC,B81,,,N,1,
226,B19,72190,2017-05-31 17:32:33.75,2012-09-26 21:12:18.037,0,1028,B19,,,N,1,2
227,A54S,71541,2017-05-31 17:47:39.803,2012-10-08 10:37:05.773,0,1034GCS,A54,,,N,1,2
228,B81S,72811,2017-05-31 17:12:22.193,2012-10-08 11:02:49.97,0,2109GCS,B81,,,N,1,2
229,B82,72820,2017-05-31 17:12:06.907,2012-10-10 14:02:26.687,0,À­Ë¿ÈýËáÌú»Ò,,,,N,1,3
230,B83T,72830,2017-05-31 17:11:09.877,2012-10-12 08:28:19.443,0,225SPGC,B83T,,,Y,1,2
231,A78,71780,2017-05-31 17:39:28.9,2012-10-12 16:40:20.63,0,40145-B,A78,,,N,1,2
232,B84,72850,2017-05-31 17:10:56.833,2012-10-18 11:39:23.137,0,YQ2004,,,,Y,1,2
233,A79,71790,2017-05-31 17:38:59.353,2012-10-18 15:09:04.533,0,40221-B,A79,,,N,1,2
234,A51,71510,2017-05-31 17:48:29.78,2012-10-19 09:04:29.377,0,1031GC,A51,,,N,1,2
235,A58,71580,2017-05-31 17:46:28.15,2012-10-19 09:04:59.47,0,1045A,A58,,,N,1,2
